Close (BNB),Volume (BNB),Close (BTC),Volume (BTC),Close (USDT),Volume (USDT),Close (ETH),Volume (ETH)
8.45864,49990000,8277.009766,7073549824,1.01013,2504640000,834.682007,2997090048
6.70503,55276900,6955.27002,9285289984,0.996308,4078980096,697.950989,4269530112
8.28885,97189904,7754.0,13999800320,1.01009,6247249920,793.122009,6518269952
8.09501,77970304,7621.299805,9169280000,1.0014,3307539968,757.067993,3896179968
8.5955,82496000,8265.589844,9346750464,1.01891,2466619904,817.807007,3708189952
9.73046,9284,8736.980469,6784820224,1.00211,1631139968,883.86499,2495820032
9.25597,80123200,8621.900391,7780960256,1.0037,2628379904,860.414978,2930530048
8.70491,68554600,8129.970215,6122189824,0.999251,2431739904,814.659973,2486650112
9.32247,50792600,8926.570313,6256439808,1.00009,2457489920,868.70697,2243450112
8.98678,41593400,8598.30957,5696719872,1.0011,2226759936,845.257996,2081170048
10.4006,68781600,9494.629883,7909819904,1.00077,3066190080,923.560974,2818370048
10.9311,108962000,10166.400391,9062540288,1.00541,3286909952,936.976013,2900100096
11.2016,71131800,10233.900391,7296159744,1.0021,2605819904,944.210022,2369449984
11.6893,76093504,11112.700195,8660880384,1.0037,2797600000,974.11499,2525720064
10.7024,62044700,10551.799805,8744009728,1.00519,3124179968,923.921021,2567290112
11.0757,54898800,11225.299805,7652089856,1.00061,2546439936,943.86499,2169019904
9.90451,66512400,11403.700195,9926540288,1.00061,3126220032,895.370972,2545260032
9.38079,55087600,10690.400391,9405339648,1.00097,3459830016,849.971008,2531729920
8.90403,47216100,10005.0,8040079872,1.00409,2904620032,812.844971,2150370048
9.69211,53626800,10301.099609,7739500032,1.00157,2815280128,864.189026,2334820096
9.14191,48709200,9813.070313,6917929984,1.00284,2417710080,840.515015,1926579968
9.3466,43814500,9664.730469,5706939904,1.00034,1968850048,844.809998,1646960000
9.90232,53540300,10366.700195,7287690240,0.999561,2362210048,869.315002,2044480000
10.6599,97184400,10725.599609,6966179840,1.00052,2473019904,878.265015,2053980032
10.4382,69036400,10397.900391,6936189952,0.998903,2414230016,855.198975,1963980032
10.5097,72474200,10951.0,7317279744,1.00042,2285570048,872.200012,1868519936
10.2248,46449100,11086.400391,7620590080,0.99973,2172250112,856.853027,1894419968
10.2179,40001900,11489.700195,6690570240,1.00087,2181489920,857.224976,1699369984
10.3481,37886900,11512.599609,6084149760,0.997612,2133910016,866.677979,1697939968
10.1105,38605100,11573.299805,6468539904,0.998864,2227680000,853.684021,1898489984
9.38438,38182600,10779.900391,6832169984,1.0005,2491849984,816.950989,1943069952
9.03488,79740800,9965.570313,8797910016,1.00248,3037380096,752.830994,2175419904
8.31044,48535100,9395.009766,7186089984,1.00591,2636689920,704.596008,1891640064
8.31307,46893300,9337.549805,8704190464,1.00166,3131620096,728.916016,2233019904
7.67166,41645000,8866.0,5386319872,1.00519,2218810112,686.890015,1532960000
8.27238,45451700,9578.629883,6296370176,1.00384,2394810112,723.338989,1562680064
8.03927,51188100,9205.120117,6457399808,1.00235,2155559936,699.830994,1764999936
10.1152,216111008,9194.849609,5991139840,0.999843,1890040064,690.827026,1425959936
8.95921,124112000,8269.80957,6438230016,1.00275,2151670016,614.291016,1810560000
9.09908,104531000,8300.860352,6834429952,1.00128,2259869952,611.304016,1770460032
9.11132,97626000,8338.349609,5289379840,0.998551,1872050048,601.666016,1417350016
8.98774,94679904,7916.879883,4426149888,1.00162,1687920000,552.778992,1267810048
8.95185,94840304,8223.679688,6639190016,1.00308,2639470080,538.643982,2685499904
8.99274,97938896,8630.650391,6729110016,0.989867,2638089984,556.726013,2046790016
9.16093,96919504,8913.469727,6361789952,0.996832,2506319872,557.174988,1833680000
9.982,131761000,8929.280273,6043129856,0.999244,2353890048,561.731995,1781270016
10.0663,112305000,8728.469727,5530390016,0.998982,2171849984,539.702026,1523459968
11.7376,157246000,8879.620117,5954120192,0.990235,1995699968,539.619019,1596349952
13.0891,255358000,8668.120117,5664600064,1.0091,1785500032,526.439026,1300009984
12.7831,189518000,8495.780273,4569880064,0.999686,1511320064,524.286987,1151170048
12.0614,132353000,8209.400391,5921039872,1.00341,2183960064,489.950989,1638880000
11.5083,102579000,7833.040039,5378250240,1.00161,2051079936,450.115997,1617939968
11.6404,92931200,7954.47998,4935289856,0.999204,1857049984,446.278992,1514179968
10.1961,81352096,7165.700195,6361229824,0.998623,2486609920,385.967987,1970230016
10.3504,75551600,6890.52002,6289509888,0.998943,2596849920,394.644989,1878130048
11.0559,89256304,6973.529785,4553269760,1.00077,1763719936,396.457001,1323920000
11.0662,87918096,6844.22998,4532100096,0.99981,1832530048,379.606995,1256930048
12.6207,116071000,7083.799805,4333440000,1.00013,1550880000,386.424988,1102259968
13.3607,141287008,7456.109863,5499700224,1.00037,1753520000,416.893005,1363399936
12.1904,119600000,6853.839844,4936000000,1.00083,1772329984,380.542999,1287730048
12.4536,103864000,6811.470215,5639320064,1.00253,1609469952,383.231995,1210680064
12.2584,81989696,6636.319824,3766810112,1.00109,1257110016,370.285004,967105984
12.4557,87924896,6911.089844,3976610048,0.999644,1332259968,385.313995,951475008
12.1176,79045000,7023.52002,3652499968,0.996809,1090880000,400.507996,948488000
11.8683,80643696,6770.72998,4894060032,0.997555,1678770048,398.526001,1478390016
12.0362,87608200,6834.759766,4272750080,0.997356,1253949952,414.243011,1196000000
12.2309,92759696,6968.319824,4641889792,1.00025,1741699968,430.540009,1439040000
12.9525,133239000,7889.25,8906250240,0.996831,3636590080,492.94101,2519360000
13.5368,148215008,7895.959961,7764460032,0.998895,3218919936,492.734985,2419249920
13.2444,94980800,7986.240234,5191430144,0.999766,2060220032,501.477997,1519079936
13.0588,115373000,8329.110352,5244480000,0.998602,2057859968,531.702026,1726089984
12.21,75965504,8058.669922,5631309824,0.997592,2125180032,511.147003,1758979968
11.7694,77537400,7902.089844,6900879872,0.998556,2075650048,502.894012,1760359936
12.2757,90015104,8163.419922,6529909760,0.997609,2112089984,524.789001,1762940032
12.3526,78661696,8294.30957,7063209984,0.997185,2217799936,567.888977,2256869888
12.5752,86036096,8845.830078,8438110208,0.998338,3458870016,615.718018,2849469952
13.3784,141582000,8895.580078,7548550144,0.999014,3570040064,605.39502,2612460032
12.8759,84873000,8802.459961,6629899776,0.996196,3176019968,621.859985,2426269952
13.6253,132041000,8930.879883,6925190144,0.997847,3075480064,642.547974,2386830080
15.266,165599008,9697.5,10678800384,1.00476,5033249792,708.15802,3581860096
13.2909,144820992,8845.740234,11083100160,0.991809,6126580224,615.416016,4216140032
14.6536,127788000,9281.509766,8970559488,0.999614,4206320128,662.809021,2984009984
14.3291,101995000,8987.049805,7566289920,1.00415,4060179968,647.031982,2598129920
15.2001,122360000,9348.480469,7805479936,0.999335,4066050048,683.677979,2496659968
15.0562,105495000,9419.080078,8853000192,0.998016,5167799808,688.880981,2740559872
14.3121,83765800,9240.549805,8673920000,0.998919,4498440192,669.924011,2853100032
14.1643,75433904,9119.009766,7713019904,1.00349,3901110016,673.612976,2678960128
14.4092,80730304,9235.919922,7558159872,0.997464,3711889920,687.148987,2822269952
14.6526,104726000,9743.860352,10207299584,0.997973,4307829760,779.54303,4210939904
14.3295,79940496,9700.759766,8217829888,0.998561,3844979968,785.624023,3533410048
14.3687,71502096,9858.150391,7651939840,0.996284,3848780032,816.119995,3035040000
13.9426,74731600,9654.799805,7222280192,0.997202,3948859904,792.310974,3105570048
13.7025,59800200,9373.009766,7394019840,0.997237,4137240064,753.724976,4316120064
13.529,57865500,9234.820313,7415869952,1.00212,3317769984,752.856995,2920489984
14.6602,99046304,9325.179688,7226890240,1.00051,3236689920,752.275024,2877870080
13.8184,68250000,9043.94043,6906699776,1.00134,3430200064,727.276978,2748950016
12.9939,57027500,8441.490234,8488520192,1.00225,4733060096,679.585999,3290080000
12.9439,44001000,8504.889648,6821380096,1.0011,4539990016,686.047974,2668480000
13.1187,70816496,8723.94043,5866379776,1.00325,3179099904,733.495972,2362500096
12.8707,49317700,8716.790039,7364149760,1.00127,3820280064,730.549011,3005110016
12.5678,45696200,8510.379883,6705710080,1.00114,3315440128,708.870972,2523069952
12.2605,35233200,8368.830078,6760220160,0.99995,3238190080,707.049988,2476130048
12.465,54251500,8094.319824,5862530048,1.00019,3026749952,672.656982,2350619904
15.1354,243260992,8250.969727,5764190208,1.00111,3051709952,694.367004,2305740032
14.2457,138320992,8247.179688,4712399872,1.00036,2569299968,696.530029,2021549952
14.1178,95390200,8513.25,5191059968,0.999117,2610939904,715.369019,2156910080
14.7223,97367296,8418.990234,5154990080,1.00297,2406449920,699.221985,2005170048
13.9255,86545104,8041.779785,5137010176,1.00297,2417590016,647.741028,2230469888
12.6262,68215200,7557.819824,6491120128,1.00402,3360600064,583.585022,2995429888
13.0003,54410900,7587.339844,6049220096,0.998818,3122710016,601.755005,2791099904
13.008,49173800,7480.140137,4867829760,1.00044,2375610112,586.734009,2110919936
12.7591,43258400,7355.879883,4051539968,0.99989,1872140032,587.280029,1694300032
12.6058,36691600,7368.220215,4056519936,0.999182,1885900032,572.66803,1788790016
11.8943,33398400,7135.990234,5040600064,1.00249,2582710016,516.036011,2356900096
12.5717,48807700,7472.589844,5662660096,1.00068,3003919872,565.388,2330820096
12.5709,43146300,7406.52002,4922540032,0.999727,2429060096,559.590027,2053970048
14.1902,93931696,7494.169922,5127130112,0.998003,2613339904,577.64502,1985040000
14.2408,80342200,7541.450195,4921460224,1.00099,2486080000,580.04303,1945890048
14.6797,87983000,7643.450195,4939299840,0.99353,3187569920,591.807983,1880390016
14.566,82182304,7720.25,4851760128,1.0001,2796300032,618.328979,1832550016
14.2611,58219100,7514.470215,4993169920,1.00052,2798279936,592.984985,1903430016
15.5993,101474000,7633.759766,4961739776,1.00102,2796069888,609.302979,1844269952
17.247499,157806000,7653.97998,4692259840,1.00069,2508359936,607.124023,1756530048
16.2631,131031000,7678.240234,4485799936,0.99875,2554540032,605.187012,1880140032
16.2738,94394600,7624.919922,4227579904,1.00179,2219579904,601.077026,1637779968
15.9632,85299904,7531.97998,3845220096,1.00608,2006880000,597.562012,1519309952
14.1842,79288200,6786.02002,5804839936,0.998215,3845029888,526.479004,2234880000
15.3835,83039696,6906.919922,4745269760,1.00193,2913220096,533.283997,1982119936
15.2262,116016000,6582.359863,4654380032,1.00077,2702340096,496.842987,1932760064
14.5891,97415904,6349.899902,5052349952,1.00353,3056750080,477.493988,2080130048
14.8953,80329504,6675.350098,5138710016,1.00395,3104209920,519.742004,2458650112
15.0481,79159296,6456.580078,3955389952,1.00695,2376110080,491.003998,1808269952
15.8092,81354704,6550.160156,3194170112,1.00424,1797939968,499.641998,1314109952
16.5788,107346000,6499.27002,3104019968,1.00548,1548390016,500.447998,1264870016
16.8797,106776000,6734.819824,4039200000,1.00283,2073910016,518.890991,1513869952
16.6996,80738096,6769.939941,4057029888,1.00022,2253370112,537.95697,1726569984
16.061899,65190300,6776.549805,3888640000,0.998829,2215259904,536.268005,1596290048
17.053301,122980000,6729.740234,3529129984,1.00053,2017639936,527.367004,1462070016
15.5939,113751000,6083.689941,5079810048,1.003,3747810048,465.816986,2226030080
15.5512,70431104,6162.47998,3431360000,1.00198,2500859904,474.519989,1651379968
14.4476,96256304,6173.22998,4566909952,1.0051,3952620032,457.671997,2490579968
14.9209,60358000,6249.180176,5500810240,1.00062,3956019968,460.309998,4007950080
14.12,37503400,6093.669922,3279759872,1.00056,2025110016,432.772003,1356560000
14.0501,44136600,6157.129883,3296219904,0.997935,2055360000,442.36499,1368940032
14.1246,67290496,5903.439941,3467800064,0.997193,2331049984,422.36499,1360790016
14.5086,52784600,6218.299805,3966230016,1.00333,2482319872,436.009003,1564499968
14.6573,59676900,6404.0,4543860224,0.999192,2540620032,455.179993,1475939968
14.4041,38434400,6385.819824,4788259840,0.998821,3653040128,453.917999,1511730048
14.5706,55614000,6614.180176,4396930048,0.998859,2787729920,475.346985,1625789952
14.1715,60657300,6529.589844,4672309760,1.00032,2786769920,464.195007,1683939968
14.0055,37043700,6597.549805,4176689920,0.999195,2638139904,467.317993,1549769984
13.8505,41185300,6639.140137,4999240192,1.00614,3606159872,474.411987,1828610048
13.5296,33466000,6673.5,4313959936,1.00316,2460250112,474.011993,1627609984
14.4048,79974896,6856.930176,3961080064,1.00621,2134790016,491.660004,1358360064
13.9919,60275400,6773.879883,3386210048,1.00425,2142080000,489.118988,1344560000
13.6645,36874000,6741.75,3718129920,1.0075,2358560000,476.682007,1533799936
12.7613,36507100,6329.950195,4052430080,1.0012,2974149888,434.424011,1789069952
12.7049,38867700,6394.709961,3644859904,1.00116,2524790016,446.518005,1422470016
12.0706,26008100,6228.810059,3770170112,0.99907,2404160000,430.074005,1495440000
12.1801,29709900,6238.049805,3805400064,1.00142,2279970048,434.027008,1489670016
12.0965,21534200,6276.120117,2923670016,1.00265,1620770048,436.085999,1235820032
12.2891,26346900,6359.640137,3285459968,0.998352,1919559936,449.850006,1350160000
13.2373,47198600,6741.75,4725799936,0.999139,2864659968,480.65799,1858680064
13.7128,74443200,7321.040039,5961950208,1.00013,3620499968,501.002014,2288100096
12.8648,75446304,7370.779785,6103410176,1.00221,4082030080,480.513,2371559936
12.918,49364800,7466.859863,5111629824,0.998088,3188349952,469.618988,2068739968
12.0709,40466000,7354.129883,4936869888,1.00103,3072349952,450.697998,1821350016
12.1853,28726700,7419.290039,3726609920,1.00004,2164900096,462.436005,1504310016
12.1199,20692400,7418.490234,3695460096,0.999843,2209939968,459.657013,1338589952
12.0199,28137700,7711.109863,5132480000,0.997496,2808819968,450.852997,1596999936
12.1451,46762700,8424.269531,7277689856,0.996505,4417310208,479.372986,2287520000
12.9394,72083200,8181.390137,5845400064,0.998791,3514560000,472.493011,1930780032
13.3973,61881400,7951.580078,4899089920,0.997951,2894500096,464.036987,1621560064
13.9227,66040700,8165.009766,5195879936,0.997118,3092310016,469.665985,1734259968
14.6017,75159904,8192.150391,3988750080,0.997887,2298899968,466.89801,1531890048
14.0212,56547100,8218.459961,4107190016,0.998919,2404489984,466.665009,1631910016
13.2169,35991600,8180.47998,5551400000,0.99891,4311410000,457.080994,2141590000
13.7754,66537000,7780.439941,5287530000,0.999507,3253100000,433.867004,1820680000
13.5739,53833700,7624.910156,4797620000,0.999409,3059190000,420.747009,1888060000
14.1769,50481200,7567.149902,4214110000,1.00066,2539460000,412.621002,1569300000
14.1346,70449300,7434.390137,4627150000,0.999095,2843800000,418.261993,1722340000
13.8424,60865200,7032.850098,4268390000,0.998505,2526060000,407.252014,1466540000
13.6232,43000300,7068.47998,3679110000,0.999347,2204100000,410.515991,1396820000
13.6991,46799600,6951.799805,3925900000,1.00095,2336390000,406.65799,1384880000
13.1461,45119500,6753.120117,4682800000,1.00154,2942000000,380.214996,1828350000
12.1437,44898500,6305.799805,5064430000,1.00169,3421800000,356.613007,2016080000
12.858,41389000,6568.22998,4267040000,1.00424,2626630000,365.588013,1616610000
12.1308,37026400,6184.709961,4528680000,1.00158,2887490000,334.175995,1699400000
11.7366,29253100,6295.72998,4047850000,1.00985,2630390000,322.112,1790370000
11.7418,23290300,6322.689941,5665250000,1.00049,4066320000,319.570007,1625420000
10.2282,34827100,6297.569824,4083980000,1.00393,2596380000,286.494995,1751190000
9.42011,39515200,6199.709961,5301700000,0.997543,3917750000,278.932007,2137850000
9.46301,42994900,6308.52002,4895450000,1.00125,3277720000,282.364014,1878150000
9.80233,24709700,6334.72998,4328420000,1.00122,2741290000,288.04599,1552970000
10.8678,37502400,6580.629883,4992990000,0.997761,3783430000,315.729004,1995460000
9.90758,27803700,6423.759766,3984520000,1.00286,3247510000,295.812012,1764020000
10.1562,21218500,6506.069824,3311170000,1.00052,2622560000,300.834015,1447910000
9.70093,17617700,6308.529785,3665100000,1.00539,2596870000,274.315002,1413790000
9.71463,13228100,6488.759766,3377180000,1.0007,2350790000,281.944,1164120000
9.53973,23929500,6376.709961,4668110000,1.00035,3325510000,271.341003,1507660000
9.71504,17327500,6534.879883,3426180000,0.998976,2392970000,277.104004,1271160000
10.2347,22814900,6719.959961,4097820000,1.00178,2850500000,282.96701,1450170000
10.1358,19561400,6763.189941,3312600000,1.001,1958700000,279.645996,1208360000
10.1856,22551200,6707.259766,3295500000,0.999227,1946530000,275.196991,1206650000
11.2128,44953500,6884.640137,4019000000,0.997802,2718980000,285.602997,1406790000
11.4861,43860800,7096.279785,4659940000,0.999395,2991530000,296.498993,1513350000
11.1735,33530600,7047.160156,4145880000,1.00066,3024040000,289.312012,1474460000
10.7626,23247800,6978.22998,4463250000,1.00003,2764870000,284.105011,1513100000
11.0138,22638200,7037.580078,4495650000,1.00351,2659230000,283.003998,1411910000
11.3794,29776300,7193.25,4116050000,0.996813,2910380000,295.341003,1546630000
11.2994,21757400,7272.720215,4329540000,0.997839,2844130000,294.371002,1321050000
11.2611,18644300,7260.060059,4087760000,0.998642,2530750000,289.259003,1394490000
11.3592,18878700,7361.660156,4273640000,0.999517,2758550000,285.722992,1554870000
10.0866,29308300,6792.830078,5800460000,1.00795,4000180000,232.330994,2390390000
10.2842,23466000,6529.169922,5523470000,1.00091,3695980000,230.214996,2097310000
10.0373,16640400,6467.069824,4264680000,1.00636,2778320000,217.203003,1678260000
9.52008,15053100,6225.97998,3835060000,1.00428,2345090000,197.951004,1517200000
9.51263,13947300,6300.859863,3671890000,1.00498,2470930000,196.923996,1585980000
9.52487,12427900,6329.700195,3714100000,1.00128,2300220000,197.078995,1502960000
9.37396,18572100,6321.200195,3849910000,1.00454,2375530000,185.065994,1568900000
9.21443,21323500,6351.799805,4064230000,1.00125,2512200000,183.330994,1874850000
9.60406,24817100,6517.310059,4210910000,1.00635,3009780000,211.354004,2330720000
9.93005,26124800,6512.709961,4076220000,1.00236,2804570000,211.748993,2232190000
10.1103,27281100,6543.200195,3216300000,1.00086,2112840000,223.074005,1670490000
9.93602,20623100,6517.180176,3273730000,1.00096,2103110000,220.589005,1502260000
9.40526,22370800,6281.200195,3910780000,1.00411,2854420000,197.875,2019910000
9.54406,23016100,6371.299805,4180090000,1.00225,2687350000,209.975006,1800640000
9.61909,22684800,6398.540039,4431340000,1.00069,2635660000,209.968994,1733330000
10.0745,27983700,6519.669922,4348110000,1.00154,2689090000,224.591003,1782070000
10.4108,35228200,6734.950195,6531940000,0.994428,5090540000,246.584,2836200000
10.245,21731800,6721.97998,4509660000,1.00092,3352660000,240.479996,1921820000
10.2806,22673000,6710.629883,4197500000,0.999512,2804770000,244.330002,1693470000
10.0359,19223700,6595.410156,4177310000,1.00063,2852810000,228.729996,1748740000
9.78316,19256100,6446.470215,4726180000,1.00044,3572280000,218.505005,2120360000
9.73663,18370400,6495.0,4437300000,1.00213,3380990000,215.847,1756100000
10.0312,26966900,6676.75,4606810000,0.997107,3408680000,228.494003,2030320000
9.96934,25097900,6644.129883,5014430000,1.00142,3447280000,222.401993,2018120000
9.99914,26072400,6601.959961,4363690000,0.999602,3249000000,231.634995,2208720000
10.0178,26954000,6625.560059,4002280000,1.00036,3307320000,232.848007,1765560000
9.94366,25138500,6589.620117,4000970000,0.997925,3069480000,230.768005,1597500000
10.3568,41386000,6556.100098,3979260000,0.999741,2818190000,227.181,1542080000
10.2712,38371900,6502.589844,3887310000,0.998569,2812780000,220.488998,1683930000
10.2556,32534900,6576.689941,3838410000,0.996185,2374680000,222.218002,1479500000
10.6362,40756200,6622.47998,3671500000,0.995778,2330830000,227.600998,1547330000
10.3721,30941000,6588.310059,3259740000,0.997177,2238520000,225.119995,1505070000
10.519,32205000,6602.950195,3306630000,0.996617,2187670000,226.119003,1470480000
10.5066,31932700,6652.22998,3979460000,0.995814,2594100000,229.255005,1470740000
10.3849,27881100,6642.640137,3580810000,0.996779,2183500000,227.981995,1405130000
10.328,26141100,6585.529785,3787650000,0.993502,2295300000,225.768997,1384040000
9.30132,26084400,6256.240234,5181640000,0.993026,3772600000,189.498993,2167620000
9.52894,26099400,6274.580078,3783500000,0.994102,2962380000,196.727005,1487900000
9.54036,24253100,6285.990234,3064030000,0.988046,1961540000,199.841003,1167610000
9.49674,22974000,6290.930176,3085320000,0.98957,2008170000,195.714996,1169260000
10.3161,52331400,6596.540039,7370770000,0.980138,5891700000,209.703995,2865830000
10.0109,30719200,6596.109863,4074800000,0.975152,2585550000,210.119995,1532280000
9.90447,35325400,6544.430176,4088420000,0.971225,2569210000,207.082993,1444130000
9.71658,29790800,6476.709961,3924080000,0.980858,2485030000,203.352005,1365860000
9.76675,24658400,6465.410156,3578870000,0.987712,2322570000,203.727005,1264480000
9.75463,23972200,6489.189941,3379130000,0.983831,2094040000,205.429993,1238780000
9.7433,25790200,6482.350098,3253610000,0.983548,2188330000,205.141998,1190300000
9.72685,27599800,6487.160156,3672860000,0.983998,2213350000,204.044006,1328980000
